            JDTDB,            Calendar_Date,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454465.5, A.D. 2007-Dec-31 00:00:00.0000,2.42E+08,-2.32E+08,-2.25E+07,1.49E+01,1.36E+01,-2.23E+00,1.12E+03,3.37E+08,1.54E+00
2454466.5, A.D. 2008-Jan-01 00:00:00.0000,2.44E+08,-2.31E+08,-2.27E+07,1.49E+01,1.36E+01,-2.22E+00,1.12E+03,3.37E+08,1.55E+00
2454467.5, A.D. 2008-Jan-02 00:00:00.0000,2.45E+08,-2.30E+08,-2.28E+07,1.48E+01,1.37E+01,-2.21E+00,1.12E+03,3.37E+08,1.55E+00
2454468.5, A.D. 2008-Jan-03 00:00:00.0000,2.46E+08,-2.29E+08,-2.30E+07,1.47E+01,1.38E+01,-2.20E+00,1.12E+03,3.37E+08,1.55E+00
2454469.5, A.D. 2008-Jan-04 00:00:00.0000,2.48E+08,-2.28E+08,-2.32E+07,1.47E+01,1.39E+01,-2.20E+00,1.12E+03,3.37E+08,1.56E+00
2454470.5, A.D. 2008-Jan-05 00:00:00.0000,2.49E+08,-2.26E+08,-2.34E+07,1.46E+01,1.39E+01,-2.19E+00,1.13E+03,3.37E+08,1.56E+00
2454471.5, A.D. 2008-Jan-06 00:00:00.0000,2.50E+08,-2.25E+08,-2.36E+07,1.45E+01,1.40E+01,-2.18E+00,1.13E+03,3.37E+08,1.57E+00
2454472.5, A.D. 2008-Jan-07 00:00:00.0000,2.51E+08,-2.24E+08,-2.38E+07,1.44E+01,1.41E+01,-2.18E+00,1.13E+03,3.38E+08,1.57E+00
2454473.5, A.D. 2008-Jan-08 00:00:00.0000,2.53E+08,-2.23E+08,-2.40E+07,1.44E+01,1.41E+01,-2.17E+00,1.13E+03,3.38E+08,1.57E+00
2454474.5, A.D. 2008-Jan-09 00:00:00.0000,2.54E+08,-2.22E+08,-2.42E+07,1.43E+01,1.42E+01,-2.16E+00,1.13E+03,3.38E+08,1.58E+00
