            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454483.5, A.D. 2008-Jan-18 00:00:00.0000,-6.71E+07,1.31E+08,-2.67E+03,-2.70E+01,-1.37E+01,2.83E-04,4.91E+02,1.47E+08,1.12E-01
2454484.5, A.D. 2008-Jan-19 00:00:00.0000,-6.95E+07,1.30E+08,-2.63E+03,-2.67E+01,-1.42E+01,5.76E-04,4.91E+02,1.47E+08,1.22E-01
2454485.5, A.D. 2008-Jan-20 00:00:00.0000,-7.18E+07,1.29E+08,-2.57E+03,-2.65E+01,-1.46E+01,8.54E-04,4.91E+02,1.47E+08,1.33E-01
2454486.5, A.D. 2008-Jan-21 00:00:00.0000,-7.40E+07,1.27E+08,-2.48E+03,-2.62E+01,-1.51E+01,1.10E-03,4.91E+02,1.47E+08,1.44E-01
2454487.5, A.D. 2008-Jan-22 00:00:00.0000,-7.63E+07,1.26E+08,-2.38E+03,-2.60E+01,-1.55E+01,1.29E-03,4.91E+02,1.47E+08,1.55E-01
2454488.5, A.D. 2008-Jan-23 00:00:00.0000,-7.85E+07,1.25E+08,-2.26E+03,-2.57E+01,-1.60E+01,1.43E-03,4.91E+02,1.47E+08,1.66E-01
2454489.5, A.D. 2008-Jan-24 00:00:00.0000,-8.07E+07,1.23E+08,-2.14E+03,-2.54E+01,-1.64E+01,1.50E-03,4.91E+02,1.47E+08,1.76E-01
2454490.5, A.D. 2008-Jan-25 00:00:00.0000,-8.29E+07,1.22E+08,-2.01E+03,-2.51E+01,-1.69E+01,1.50E-03,4.91E+02,1.47E+08,1.87E-01
2454491.5, A.D. 2008-Jan-26 00:00:00.0000,-8.51E+07,1.20E+08,-1.88E+03,-2.48E+01,-1.73E+01,1.44E-03,4.91E+02,1.47E+08,1.97E-01
2454492.5, A.D. 2008-Jan-27 00:00:00.0000,-8.72E+07,1.19E+08,-1.76E+03,-2.45E+01,-1.77E+01,1.34E-03,4.91E+02,1.47E+08,2.07E-01
2454493.5, A.D. 2008-Jan-28 00:00:00.0000,-8.93E+07,1.17E+08,-1.65E+03,-2.42E+01,-1.82E+01,1.19E-03,4.91E+02,1.47E+08,2.16E-01
2454494.5, A.D. 2008-Jan-29 00:00:00.0000,-9.14E+07,1.16E+08,-1.55E+03,-2.39E+01,-1.86E+01,1.00E-03,4.91E+02,1.47E+08,2.25E-01
2454495.5, A.D. 2008-Jan-30 00:00:00.0000,-9.34E+07,1.14E+08,-1.47E+03,-2.35E+01,-1.90E+01,7.96E-04,4.91E+02,1.47E+08,2.33E-01
2454496.5, A.D. 2008-Jan-31 00:00:00.0000,-9.54E+07,1.12E+08,-1.42E+03,-2.32E+01,-1.94E+01,5.72E-04,4.92E+02,1.47E+08,2.41E-01
2454497.5, A.D. 2008-Feb-01 00:00:00.0000,-9.74E+07,1.11E+08,-1.38E+03,-2.28E+01,-1.98E+01,3.40E-04,4.92E+02,1.47E+08,2.48E-01
2454498.5, A.D. 2008-Feb-02 00:00:00.0000,-9.94E+07,1.09E+08,-1.36E+03,-2.25E+01,-2.02E+01,1.09E-04,4.92E+02,1.47E+08,2.55E-01
2454499.5, A.D. 2008-Feb-03 00:00:00.0000,-1.01E+08,1.07E+08,-1.36E+03,-2.21E+01,-2.06E+01,-1.10E-04,4.92E+02,1.47E+08,2.61E-01
2454500.5, A.D. 2008-Feb-04 00:00:00.0000,-1.03E+08,1.05E+08,-1.38E+03,-2.18E+01,-2.10E+01,-3.10E-04,4.92E+02,1.47E+08,2.67E-01
2454501.5, A.D. 2008-Feb-05 00:00:00.0000,-1.05E+08,1.03E+08,-1.41E+03,-2.14E+01,-2.13E+01,-4.80E-04,4.92E+02,1.47E+08,2.73E-01
2454502.5, A.D. 2008-Feb-06 00:00:00.0000,-1.07E+08,1.02E+08,-1.46E+03,-2.10E+01,-2.17E+01,-6.08E-04,4.92E+02,1.48E+08,2.78E-01
2454503.5, A.D. 2008-Feb-07 00:00:00.0000,-1.09E+08,9.97E+07,-1.51E+03,-2.06E+01,-2.21E+01,-6.86E-04,4.92E+02,1.48E+08,2.83E-01
2454504.5, A.D. 2008-Feb-08 00:00:00.0000,-1.10E+08,9.78E+07,-1.57E+03,-2.02E+01,-2.24E+01,-7.06E-04,4.92E+02,1.48E+08,2.88E-01
2454505.5, A.D. 2008-Feb-09 00:00:00.0000,-1.12E+08,9.59E+07,-1.63E+03,-1.98E+01,-2.28E+01,-6.62E-04,4.92E+02,1.48E+08,2.92E-01
2454506.5, A.D. 2008-Feb-10 00:00:00.0000,-1.14E+08,9.39E+07,-1.69E+03,-1.94E+01,-2.31E+01,-5.54E-04,4.92E+02,1.48E+08,2.97E-01
2454507.5, A.D. 2008-Feb-11 00:00:00.0000,-1.16E+08,9.19E+07,-1.73E+03,-1.90E+01,-2.34E+01,-3.85E-04,4.92E+02,1.48E+08,3.02E-01
2454508.5, A.D. 2008-Feb-12 00:00:00.0000,-1.17E+08,8.98E+07,-1.75E+03,-1.86E+01,-2.38E+01,-1.64E-04,4.93E+02,1.48E+08,3.08E-01
2454509.5, A.D. 2008-Feb-13 00:00:00.0000,-1.19E+08,8.78E+07,-1.75E+03,-1.82E+01,-2.41E+01,9.61E-05,4.93E+02,1.48E+08,3.13E-01
2454510.5, A.D. 2008-Feb-14 00:00:00.0000,-1.20E+08,8.57E+07,-1.73E+03,-1.78E+01,-2.44E+01,3.80E-04,4.93E+02,1.48E+08,3.20E-01
