            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2454195.500000000, A.D. 2007-Apr-05 00:00:00.0000,  9.925559740436223E+07, -1.854800366153091E+08, -6.323919361107588E+06,  2.227904414824956E+01,  1.350869084312617E+01, -2.642011633583898E-01,  7.020276956020839E+02,  2.104626084486245E+08, -1.390279494205259E+00,
2454197.500000000, A.D. 2007-Apr-07 00:00:00.0000,  1.030840229662757E+08, -1.831064357198345E+08, -6.368224452942096E+06,  2.202972421685133E+01,  1.396282274254757E+01, -2.485622508484564E-01,  7.012373900965019E+02,  2.102256808185351E+08, -1.351819656640731E+00,
2454199.500000000, A.D. 2007-Apr-09 00:00:00.0000,  1.068684800545495E+08, -1.806547412844018E+08, -6.409813348499916E+06,  2.177016089708731E+01,  1.441250646734361E+01, -2.327649375331164E-01,  7.004694566165202E+02,  2.099954601529910E+08, -1.312655242634919E+00,
2454201.500000000, A.D. 2007-Apr-11 00:00:00.0000,  1.106072046046044E+08, -1.781257452038589E+08, -6.448659313567221E+06,  2.150042489183940E+01,  1.485747295990290E+01, -2.168165944222578E-01,  6.997242966974666E+02,  2.097720668292548E+08, -1.272802310698716E+00,
2454203.500000000, A.D. 2007-Apr-13 00:00:00.0000,  1.142984455107082E+08, -1.755202858111327E+08, -6.484736905714698E+06,  2.122059557191705E+01,  1.529745375074579E+01, -2.007248452123989E-01,  6.990023023503102E+02,  2.095556183692586E+08, -1.232277721923336E+00,
2454205.500000000, A.D. 2007-Apr-15 00:00:00.0000,  1.179404661072741E+08, -1.728392477775846E+08, -6.518022007969767E+06,  2.093076080257519E+01,  1.573218117165122E+01, -1.844974491068854E-01,  6.983038556492962E+02,  2.093462293159797E+08, -1.191099151651019E+00,
2454207.500000000, A.D. 2007-Apr-17 00:00:00.0000,  1.215315456601902E+08, -1.700835619562665E+08, -6.548491862046435E+06,  2.063101699155557E+01,  1.616138848966452E+01, -1.681423048966826E-01,  6.976293283263626E+02,  2.091440111118492E+08, -1.149284921727568E+00,
2454209.500000000, A.D. 2007-Apr-19 00:00:00.0000,  1.250699808647204E+08, -1.672542051703982E+08, -6.576125100899555E+06,  2.032146941475839E+01,  1.658481031182071E+01, -1.516675948522099E-01,  6.969790813807905E+02,  2.089490719817292E+08, -1.106853878256458E+00,
2454211.500000000, A.D. 2007-Apr-21 00:00:00.0000,  1.285540873477263E+08, -1.643521999385509E+08, -6.600901780137330E+06,  2.000223205067066E+01,  1.700218315781081E+01, -1.350816755139137E-01,  6.963534646847722E+02,  2.087615168146640E+08, -1.063825661306058E+00,
2454213.500000000, A.D. 2007-Apr-23 00:00:00.0000,  1.319822011707257E+08, -1.613786141420259E+08, -6.622803408242807E+06,  1.967342743144824E+01,  1.741324569225787E+01, -1.183929969087734E-01,  6.957528166018105E+02,  2.085814470494800E+08, -1.020220686081357E+00,
2454215.500000000, A.D. 2007-Apr-25 00:00:00.0000,  1.353526803291219E+08, -1.583345606325961E+08, -6.641812974349976E+06,  1.933518676903126E+01,  1.781773881206517E+01, -1.016101847604665E-01,  6.951774636108905E+02,  2.084089605621144E+08, -9.760598394138754E-01,
2454217.500000000, A.D. 2007-Apr-27 00:00:00.0000,  1.386639062511368E+08, -1.552211967790729E+08, -6.657914976685569E+06,  1.898765006471949E+01,  1.821540627819498E+01, -8.474209017567791E-02,  6.946277199481298E+02,  2.082441515581854E+08, -9.313645868670639E-01,
2454219.500000000, A.D. 2007-Apr-29 00:00:00.0000,  1.419142852874123E+08, -1.520397239522210E+08, -6.671095448475920E+06,  1.863096589603673E+01,  1.860599517081243E+01, -6.779769267793334E-02,  6.941038872538835E+02,  2.080871104671966E+08, -8.861571242131386E-01,
2454221.500000000, A.D. 2007-May-01 00:00:00.0000,  1.451022501899859E+08, -1.487913869458518E+08, -6.681341981841832E+06,  1.826529119092952E+01,  1.898925600477744E+01, -5.078602111782438E-02,  6.936062542247523E+02,  2.079379238382113E+08, -8.404602866116455E-01,
2454223.500000000, A.D. 2007-May-03 00:00:00.0000,  1.482262615786889E+08, -1.454774733397609E+08, -6.688643750742882E+06,  1.789079142605207E+01,  1.936494304974050E+01, -3.371629241728957E-02,  6.931350962880075E+02,  2.077966742422484E+08, -7.942973139977207E-01,
2454225.500000000, A.D. 2007-May-05 00:00:00.0000,  1.512848093903173E+08, -1.420993127969974E+08, -6.692991531821132E+06,  1.750764052165848E+01,  1.973281490216038E+01, -1.659789563021441E-02,  6.926906752768759E+02,  2.076634401749344E+08, -7.476919781755660E-01,
2454227.500000000, A.D. 2007-May-07 00:00:00.0000,  1.542764143076111E+08, -1.386582762986537E+08, -6.694377723805815E+06,  1.711602046157284E+01,  2.009263491489644E+01,  5.597535919719121E-04,  6.922732391155154E+02,  2.075382959620621E+08, -7.006687902992369E-01,
2454229.500000000, A.D. 2007-May-09 00:00:00.0000,  1.571996291592579E+08, -1.351557753197903E+08, -6.692796363111921E+06,  1.671612119793862E+01,  2.044417120678736E+01,  1.774717324399244E-02,  6.918830215069609E+02,  2.074213116660386E+08, -6.532527157162153E-01,
2454231.500000000, A.D. 2007-May-11 00:00:00.0000,  1.600530402941293E+08, -1.315932609464042E+08, -6.688243138911977E+06,  1.630814064646731E+01,  2.078719709890692E+01,  3.495474431330337E-02,  6.915202416370659E+02,  2.073125529971299E+08, -6.054691053850421E-01,
