            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454829.5, A.D. 2008-Dec-29 00:00:00.0000,-1.20E+07,-2.18E+08,-4.28E+06,2.51E+01,7.58E-01,-6.01E-01,7.30E+02,2.19E+08,-2.12E+00
2454831.5, A.D. 2008-Dec-31 00:00:00.0000,-7.62E+06,-2.18E+08,-4.38E+06,2.51E+01,1.24E+00,-5.91E-01,7.28E+02,2.18E+08,-2.10E+00
2454833.5, A.D. 2009-Jan-02 00:00:00.0000,-3.28E+06,-2.18E+08,-4.48E+06,2.51E+01,1.72E+00,-5.81E-01,7.27E+02,2.18E+08,-2.08E+00
2454835.5, A.D. 2009-Jan-04 00:00:00.0000,1.07E+06,-2.18E+08,-4.58E+06,2.51E+01,2.20E+00,-5.71E-01,7.26E+02,2.18E+08,-2.07E+00
2454837.5, A.D. 2009-Jan-06 00:00:00.0000,5.41E+06,-2.17E+08,-4.68E+06,2.51E+01,2.69E+00,-5.61E-01,7.25E+02,2.17E+08,-2.05E+00
2454839.5, A.D. 2009-Jan-08 00:00:00.0000,9.76E+06,-2.17E+08,-4.78E+06,2.51E+01,3.17E+00,-5.50E-01,7.24E+02,2.17E+08,-2.03E+00
2454841.5, A.D. 2009-Jan-10 00:00:00.0000,1.41E+07,-2.16E+08,-4.87E+06,2.51E+01,3.66E+00,-5.40E-01,7.22E+02,2.17E+08,-2.01E+00
2454843.5, A.D. 2009-Jan-12 00:00:00.0000,1.84E+07,-2.15E+08,-4.96E+06,2.51E+01,4.15E+00,-5.28E-01,7.21E+02,2.16E+08,-1.98E+00
2454845.5, A.D. 2009-Jan-14 00:00:00.0000,2.28E+07,-2.15E+08,-5.06E+06,2.50E+01,4.64E+00,-5.17E-01,7.20E+02,2.16E+08,-1.96E+00
2454847.5, A.D. 2009-Jan-16 00:00:00.0000,2.71E+07,-2.14E+08,-5.14E+06,2.50E+01,5.13E+00,-5.05E-01,7.19E+02,2.16E+08,-1.94E+00
2454849.5, A.D. 2009-Jan-18 00:00:00.0000,3.14E+07,-2.13E+08,-5.23E+06,2.49E+01,5.62E+00,-4.93E-01,7.18E+02,2.15E+08,-1.91E+00
