            JDTDB,            Calendar_Date,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454464.5, A.D. 2007-Dec-30 00:00:00.0000,-1.28E+07,1.80E+08,1.83E+06,-2.79E+01,4.29E+00,1.27E-01,6.02E+02,1.80E+08,6.27E+00
2454465.5, A.D. 2007-Dec-31 00:00:00.0000,-1.53E+07,1.80E+08,1.84E+06,-2.79E+01,3.94E+00,1.27E-01,6.03E+02,1.81E+08,6.28E+00
2454466.5, A.D. 2008-Jan-01 00:00:00.0000,-1.77E+07,1.81E+08,1.85E+06,-2.79E+01,3.59E+00,1.28E-01,6.05E+02,1.81E+08,6.29E+00
2454467.5, A.D. 2008-Jan-02 00:00:00.0000,-2.01E+07,1.81E+08,1.86E+06,-2.78E+01,3.24E+00,1.28E-01,6.07E+02,1.82E+08,6.29E+00
2454468.5, A.D. 2008-Jan-03 00:00:00.0000,-2.25E+07,1.81E+08,1.87E+06,-2.78E+01,2.90E+00,1.28E-01,6.09E+02,1.83E+08,6.30E+00
2454469.5, A.D. 2008-Jan-04 00:00:00.0000,-2.49E+07,1.81E+08,1.88E+06,-2.78E+01,2.56E+00,1.28E-01,6.11E+02,1.83E+08,6.31E+00
2454470.5, A.D. 2008-Jan-05 00:00:00.0000,-2.73E+07,1.82E+08,1.90E+06,-2.77E+01,2.22E+00,1.28E-01,6.13E+02,1.84E+08,6.31E+00
2454471.5, A.D. 2008-Jan-06 00:00:00.0000,-2.97E+07,1.82E+08,1.91E+06,-2.77E+01,1.88E+00,1.29E-01,6.14E+02,1.84E+08,6.32E+00
2454472.5, A.D. 2008-Jan-07 00:00:00.0000,-3.21E+07,1.82E+08,1.92E+06,-2.76E+01,1.55E+00,1.29E-01,6.16E+02,1.85E+08,6.32E+00
2454473.5, A.D. 2008-Jan-08 00:00:00.0000,-3.44E+07,1.82E+08,1.93E+06,-2.76E+01,1.22E+00,1.29E-01,6.18E+02,1.85E+08,6.32E+00
2454474.5, A.D. 2008-Jan-09 00:00:00.0000,-3.68E+07,1.82E+08,1.94E+06,-2.75E+01,8.89E-01,1.29E-01,6.20E+02,1.86E+08,6.32E+00
2454475.5, A.D. 2008-Jan-10 00:00:00.0000,-3.92E+07,1.82E+08,1.95E+06,-2.74E+01,5.63E-01,1.29E-01,6.22E+02,1.86E+08,6.32E+00
2454476.5, A.D. 2008-Jan-11 00:00:00.0000,-4.16E+07,1.82E+08,1.96E+06,-2.74E+01,2.40E-01,1.30E-01,6.23E+02,1.87E+08,6.32E+00
2454477.5, A.D. 2008-Jan-12 00:00:00.0000,-4.39E+07,1.82E+08,1.97E+06,-2.73E+01,-8.02E-02,1.30E-01,6.25E+02,1.87E+08,6.32E+00
2454478.5, A.D. 2008-Jan-13 00:00:00.0000,-4.63E+07,1.82E+08,1.99E+06,-2.72E+01,-3.98E-01,1.31E-01,6.27E+02,1.88E+08,6.32E+00
2454479.5, A.D. 2008-Jan-14 00:00:00.0000,-4.86E+07,1.82E+08,2.00E+06,-2.72E+01,-7.13E-01,1.31E-01,6.29E+02,1.89E+08,6.32E+00
2454480.5, A.D. 2008-Jan-15 00:00:00.0000,-5.10E+07,1.82E+08,2.01E+06,-2.71E+01,-1.02E+00,1.32E-01,6.31E+02,1.89E+08,6.32E+00
2454481.5, A.D. 2008-Jan-16 00:00:00.0000,-5.33E+07,1.82E+08,2.02E+06,-2.70E+01,-1.33E+00,1.29E-01,6.33E+02,1.90E+08,6.31E+00
2454482.5, A.D. 2008-Jan-17 00:00:00.0000,-5.56E+07,1.82E+08,2.03E+06,-2.69E+01,-1.64E+00,1.26E-01,6.34E+02,1.90E+08,6.31E+00
2454483.5, A.D. 2008-Jan-18 00:00:00.0000,-5.80E+07,1.82E+08,2.04E+06,-2.68E+01,-1.94E+00,1.22E-01,6.36E+02,1.91E+08,6.30E+00
2454484.5, A.D. 2008-Jan-19 00:00:00.0000,-6.03E+07,1.82E+08,2.05E+06,-2.67E+01,-2.24E+00,1.19E-01,6.38E+02,1.91E+08,6.29E+00
2454485.5, A.D. 2008-Jan-20 00:00:00.0000,-6.26E+07,1.81E+08,2.06E+06,-2.66E+01,-2.54E+00,1.19E-01,6.40E+02,1.92E+08,6.29E+00
2454486.5, A.D. 2008-Jan-21 00:00:00.0000,-6.49E+07,1.81E+08,2.07E+06,-2.65E+01,-2.83E+00,1.19E-01,6.42E+02,1.92E+08,6.28E+00
2454487.5, A.D. 2008-Jan-22 00:00:00.0000,-6.72E+07,1.81E+08,2.08E+06,-2.64E+01,-3.12E+00,1.20E-01,6.43E+02,1.93E+08,6.27E+00
2454488.5, A.D. 2008-Jan-23 00:00:00.0000,-6.94E+07,1.81E+08,2.09E+06,-2.63E+01,-3.41E+00,1.19E-01,6.45E+02,1.93E+08,6.26E+00
2454489.5, A.D. 2008-Jan-24 00:00:00.0000,-7.17E+07,1.80E+08,2.10E+06,-2.62E+01,-3.70E+00,1.16E-01,6.47E+02,1.94E+08,6.25E+00
2454490.5, A.D. 2008-Jan-25 00:00:00.0000,-7.40E+07,1.80E+08,2.11E+06,-2.61E+01,-3.98E+00,1.12E-01,6.49E+02,1.95E+08,6.24E+00
2454491.5, A.D. 2008-Jan-26 00:00:00.0000,-7.62E+07,1.80E+08,2.12E+06,-2.60E+01,-4.26E+00,1.09E-01,6.51E+02,1.95E+08,6.23E+00
2454492.5, A.D. 2008-Jan-27 00:00:00.0000,-7.84E+07,1.79E+08,2.13E+06,-2.59E+01,-4.54E+00,1.09E-01,6.52E+02,1.96E+08,6.22E+00
2454493.5, A.D. 2008-Jan-28 00:00:00.0000,-8.07E+07,1.79E+08,2.14E+06,-2.57E+01,-4.81E+00,1.09E-01,6.54E+02,1.96E+08,6.20E+00
2454494.5, A.D. 2008-Jan-29 00:00:00.0000,-8.29E+07,1.78E+08,2.15E+06,-2.56E+01,-5.08E+00,1.09E-01,6.56E+02,1.97E+08,6.19E+00
2454495.5, A.D. 2008-Jan-30 00:00:00.0000,-8.51E+07,1.78E+08,2.16E+06,-2.55E+01,-5.35E+00,1.09E-01,6.58E+02,1.97E+08,6.17E+00
2454496.5, A.D. 2008-Jan-31 00:00:00.0000,-8.73E+07,1.77E+08,2.17E+06,-2.54E+01,-5.62E+00,1.09E-01,6.60E+02,1.98E+08,6.16E+00
2454497.5, A.D. 2008-Feb-01 00:00:00.0000,-8.95E+07,1.77E+08,2.18E+06,-2.52E+01,-5.89E+00,1.10E-01,6.61E+02,1.98E+08,6.14E+00
2454498.5, A.D. 2008-Feb-02 00:00:00.0000,-9.17E+07,1.76E+08,2.19E+06,-2.51E+01,-6.15E+00,1.10E-01,6.63E+02,1.99E+08,6.13E+00
2454499.5, A.D. 2008-Feb-03 00:00:00.0000,-9.38E+07,1.76E+08,2.20E+06,-2.50E+01,-6.41E+00,1.11E-01,6.65E+02,1.99E+08,6.11E+00
2454500.5, A.D. 2008-Feb-04 00:00:00.0000,-9.60E+07,1.75E+08,2.21E+06,-2.49E+01,-6.66E+00,1.11E-01,6.67E+02,2.00E+08,6.09E+00
2454501.5, A.D. 2008-Feb-05 00:00:00.0000,-9.81E+07,1.75E+08,2.22E+06,-2.47E+01,-6.92E+00,1.11E-01,6.68E+02,2.00E+08,6.07E+00
2454502.5, A.D. 2008-Feb-06 00:00:00.0000,-1.00E+08,1.74E+08,2.23E+06,-2.46E+01,-7.17E+00,1.11E-01,6.70E+02,2.01E+08,6.06E+00
2454503.5, A.D. 2008-Feb-07 00:00:00.0000,-1.02E+08,1.73E+08,2.24E+06,-2.44E+01,-7.42E+00,1.11E-01,6.72E+02,2.01E+08,6.04E+00
2454504.5, A.D. 2008-Feb-08 00:00:00.0000,-1.04E+08,1.73E+08,2.25E+06,-2.43E+01,-7.66E+00,1.12E-01,6.74E+02,2.02E+08,6.02E+00
2454505.5, A.D. 2008-Feb-09 00:00:00.0000,-1.07E+08,1.72E+08,2.26E+06,-2.42E+01,-7.90E+00,1.12E-01,6.75E+02,2.02E+08,6.00E+00
2454506.5, A.D. 2008-Feb-10 00:00:00.0000,-1.09E+08,1.71E+08,2.27E+06,-2.40E+01,-8.14E+00,1.12E-01,6.77E+02,2.03E+08,5.98E+00
2454507.5, A.D. 2008-Feb-11 00:00:00.0000,-1.11E+08,1.71E+08,2.27E+06,-2.39E+01,-8.38E+00,1.13E-01,6.79E+02,2.03E+08,5.96E+00
2454508.5, A.D. 2008-Feb-12 00:00:00.0000,-1.13E+08,1.70E+08,2.28E+06,-2.37E+01,-8.62E+00,1.13E-01,6.81E+02,2.04E+08,5.94E+00
2454509.5, A.D. 2008-Feb-13 00:00:00.0000,-1.15E+08,1.69E+08,2.29E+06,-2.36E+01,-8.85E+00,1.13E-01,6.82E+02,2.05E+08,5.92E+00
2454510.5, A.D. 2008-Feb-14 00:00:00.0000,-1.17E+08,1.68E+08,2.30E+06,-2.34E+01,-9.08E+00,1.13E-01,6.84E+02,2.05E+08,5.89E+00
2454511.5, A.D. 2008-Feb-15 00:00:00.0000,-1.19E+08,1.68E+08,2.31E+06,-2.33E+01,-9.30E+00,1.13E-01,6.86E+02,2.06E+08,5.87E+00
2454512.5, A.D. 2008-Feb-16 00:00:00.0000,-1.21E+08,1.67E+08,2.32E+06,-2.31E+01,-9.53E+00,1.13E-01,6.87E+02,2.06E+08,5.85E+00
2454513.5, A.D. 2008-Feb-17 00:00:00.0000,-1.23E+08,1.66E+08,2.33E+06,-2.30E+01,-9.75E+00,1.13E-01,6.89E+02,2.07E+08,5.83E+00
2454514.5, A.D. 2008-Feb-18 00:00:00.0000,-1.25E+08,1.65E+08,2.34E+06,-2.28E+01,-9.97E+00,1.14E-01,6.91E+02,2.07E+08,5.80E+00
2454515.5, A.D. 2008-Feb-19 00:00:00.0000,-1.27E+08,1.64E+08,2.35E+06,-2.26E+01,-1.02E+01,1.14E-01,6.92E+02,2.08E+08,5.78E+00
2454516.5, A.D. 2008-Feb-20 00:00:00.0000,-1.29E+08,1.63E+08,2.36E+06,-2.25E+01,-1.04E+01,1.14E-01,6.94E+02,2.08E+08,5.76E+00
